Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,,35 Meter Motoryacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Preliminary Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gregory C Marshall Naval Architects Design #4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phase 1 Scope Of Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phase 2 Scope of Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phase 3 Scope of Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav / Comm Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Appliances Schedule (Interior & Exterior),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bathroom Fixtures Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lighting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Heading,Scope of Supply,TRUE,,,,,,,,,,,,,,,,,257879.1,100.00%,70.55,0.039,11.68,18194605,10170,3012313,,29/05/17,,11/12/17,141d,,,
,,Heading,"General Design, Styling & Naval  Architecture",TRUE,,,,,Down,,,,,,,,,SubItems,,,0.0,0.00%,,,,0,0,0,,,,,,,,
,000,Heading,"Overview, Arrangements and Requirements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-01,Heading,"Vessel Mission, Performance and Dimensional Paramaters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02,Heading,Design Brief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02-01,Specifications,Compliment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02-02,Specifications,Arrangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02-03,Specifications,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02-04,Specifications,Principal Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-02-05,Specifications,Operational Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-03,Heading,Design & General concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04,Heading,"Flag State, Classification, Tonnage and Load Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-01,Specification Description,Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-02,Specification Description,Flag State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-03,Specification Description,Tonnage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-04,Specification Description,Load Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-05,Specification Description,Pollution prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000-04-06,Specification Description,Equipment Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,Heading,Specifications Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001-01,Spec Heading,Specifications Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,Heading,Exterior Styling & Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002-01,Specification Description,Exterior Styling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002-02,Specification Description,Hull and Superstructure Lines and Surface Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002-03,Specification Description,Hull Lines Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002-04,Specification Description,Superstructure Lines Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,Heading,Profile and General Arrangements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003-00,Specification Description,General Arrangement Plan Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003-00,Design Heading,Profile & General Arrangements Design Information,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-01,,,,,,,
,,Renderings,Rendered GA Overview,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-01-01,,,,,,,
,,Drawings / Deliverables,Outboard Profile,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-02,,,,,,,
,,Drawings / Deliverables,Bow and Stern Views,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-03,,,,,,,
,,Drawings / Deliverables,Observation Deck & Sundeck,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-04,,,,,,,
,,Drawings / Deliverables,Bridge Deck & Main Deck Plans,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-05,,,,,,,
,,Drawings / Deliverables,Hull Deck & Orlop Deck Plans,,,,,,,,,,,,,,,,,,,,,,,,,,4383-003-06,,,,,,,
TRUE,004,Heading,Tank Arrangement & Capacities,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,004-00,Spec Heading,Tank Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004-01,Specification Description,Diesel Oil Fuel Storage Tank - #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Specification Description,Diesel Oil Fuel Storage Tank - Trim (P&S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Specification Description,Diesel Oil Fuel Storage Tank - Trim Aft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
