Heading,Spec_Heading,Features,Model,Hyperlink,Source,Weight,Quantity,Material_And_Color,Size
Hull Scantlings & Structure,Transom Molding,Bustle and swim step,,,,3,430,,
Hull Scantlings & Structure,Hull Bottom,aft of 73',,,Rhino,4.038,1008,,
Hull Scantlings & Structure,Hull Bottom,34' - 73',,,Rhino,4.703,922,,
Hull Scantlings & Structure,Hull Bottom,fwd of 34',,,Rhino,4.038,399,,
Hull Scantlings & Structure,Rub Rails,"Upper Rub Rail, Port",,,Rhino,3.629,71,,
Hull Scantlings & Structure,Rub Rails,Lower Rub Rail,,,Rhino,3.629,149,,
Hull Scantlings & Structure,Rub Rails,"Upper Rub Rail, Starboard",,,Rhino,3.629,71,,
Hull Scantlings & Structure,Topsides,fwd of 50',,,Rhino,4.069,1029,,
Hull Scantlings & Structure,Topsides,"aft of 50', above 9'",,,Rhino,3.404,762,,
Hull Scantlings & Structure,Topsides,"50' - 73', below 9'",,,Rhino,3.401,178,,
Hull Scantlings & Structure,Topsides,"aft of 73', below 9'",,,Rhino,3.778,329.6,,
Hull Scantlings & Structure,Topsides,Transom,,,Rhino,3.629,98.86,,
Hull Scantlings & Structure,Hull Soles Assembly,"Sole ""A"" (Fwd Crew Head)",,,Measured,2.75,28.73,,
Hull Scantlings & Structure,Hull Soles Assembly,"Sole ""B"" (All Lower Crew and Guest + Beach Club)",,,Measured,2.75,1064,,
Hull Scantlings & Structure,Hull Soles Assembly,"Panel, Chain Locker Hatch",,,Rhino,4.522,4,,
Hull Scantlings & Structure,Hull Soles Assembly,"Panel, Chain Locker Angled",,,Rhino,2.556,9,,
Hull Scantlings & Structure,Hull Soles Assembly,"Sole, Chain Locker",,,Rhino,2.556,7.27,,
Hull Scantlings & Structure,Hull Soles Assembly,"Closure Panel, Bow Locker",,,Rhino,2.716,12,,
Hull Scantlings & Structure,Hull Soles Assembly,"Stiffener, Bulkhead ""F""",,,Rhino,2.506,8,,
Hull Scantlings & Structure,Hull Soles Assembly,"Stiffener, Bulkhead ""J""",,,Rhino,2.61,14,,
Hull Scantlings & Structure,Hull Sole Prep,"Ledgers, Bunks Etc",,,Guess,500,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead ""A"", Structural",,,Measured,210,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead ""A1"" Structural",,,Measured,54,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead, Chain Locker",,,Measured,81,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead ""M"", Gyro Pocket",,,Measured,696,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead ""N"" Starboard, Structural",,,Measured,50,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Bulkhead ""N"" Port, Structural",,,Measured,59,1,,
Hull Scantlings & Structure,Hull Sole Prep,"Sole Ledgers, Transverse",,,Solidworks,110,1.47,,
Hull Scantlings & Structure,"Bunk, Fresh Water Tank","Bunk, Fresh Water Tank, Core",,,Solidworks,5,2.038,,
Hull Scantlings & Structure,"Bunk, Fresh Water Tank","Bunk, Fresh Water Tank, Polybond",,,Solidworks,67.3,0.696,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #1","Bunk, Diesel Oil Tank #1, Core",,,Solidworks,5,1.33,,
