Heading,Spec Heading,Check Item,Features,Selected Item,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Material / Color,Size
Hull Scantlings & Structure,Transom Molding,,Bustle and swim step,TRUE,Gord,Updated,,Down,bustle,,,,SF,,,,,3,430,1290,100.00%,109,0,11.17,140610,0,14409,,
Hull Scantlings & Structure,Hull Bottom,,aft of 73',TRUE,Gord,Updated,New,Down,100020.002,,,N/A,SF,,,,Rhino,4.038,1008,4070.3,40.63%,93.92,0,3.45,382283,0,14043,,
Hull Scantlings & Structure,Hull Bottom,,34' - 73',TRUE,Gord,Updated,New,Down,100020.003,,,N/A,SF,,,,Rhino,4.703,922,4336.2,43.29%,54.25,0,3.13,235237,0,13572,,
Hull Scantlings & Structure,Hull Bottom,,fwd of 34',TRUE,Gord,Updated,New,Down,100020.004,,,N/A,SF,,,,Rhino,4.038,399,1611.2,16.08%,24,0,4.74,38668,0,7637,,
Hull Scantlings & Structure,Rub Rails,,"Upper Rub Rail, Port",TRUE,Gord,Updated,New,Down,100020.005,,,N/A,SF,,,,Rhino,3.629,71,257.7,24.40%,77.1,0,12.89,19866,0,3321,,
Hull Scantlings & Structure,Rub Rails,,Lower Rub Rail,TRUE,Gord,Updated,New,Down,100020.006,,,N/A,SF,,,,Rhino,3.629,149,540.7,51.20%,100.8,0,7.61,54505,0,4115,,
Hull Scantlings & Structure,Rub Rails,,"Upper Rub Rail, Starboard",TRUE,Gord,Updated,New,Down,100020.007,,,N/A,SF,,,,Rhino,3.629,71,257.7,24.40%,77.1,0,12.89,19866,0,3321,,
Hull Scantlings & Structure,Topsides,,fwd of 50',TRUE,Gord,Updated,New,Down,,,Laminate,N/A,SF,,,,Rhino,4.069,1029,4187,48.51%,26.54,0,12.67,111123,0,53049,,
Hull Scantlings & Structure,Topsides,,"aft of 50', above 9'",TRUE,Gord,Updated,New,Down,,,Laminate,N/A,SF,,,,Rhino,3.404,762,2593.8,30.05%,78,0,12.25,202320,0,31775,,
Hull Scantlings & Structure,Topsides,,"50' - 73', below 9'",TRUE,Gord,Updated,New,Down,,,Laminate,N/A,SF,,,,Rhino,3.401,178,605.4,7.01%,61.88,0,7.07,37461,0,4280,,
Hull Scantlings & Structure,Topsides,,"aft of 73', below 9'",TRUE,Gord,Updated,New,Down,,,Laminate,N/A,SF,,,,Rhino,3.778,329.6,1245.2,14.43%,92.42,0,6.86,115084,0,8542,,
Hull Scantlings & Structure,Topsides,,Transom,TRUE,Gord,Updated,,,,,,N/A,SF,,,,Rhino,3.629,98.86,358.8,1.79%,113.29,0,5.98,40644,0,2145,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Sole ""A"" (Fwd Crew Head)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,Each,,,,Measured,2.75,28.73,79,2.51%,21.36,0,6.64,1688,0,525,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Sole ""B"" (All Lower Crew and Guest + Beach Club)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,Each,,,,Measured,2.75,1064,2926,92.78%,63.1,0,5.98,184631,0,17497,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Panel, Chain Locker Hatch",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,SF,,,,Rhino,4.522,4,18.1,0.57%,16.25,0,10.58,294,0,191,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Panel, Chain Locker Angled",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,SF,,,,Rhino,2.556,9,23,0.73%,16.25,0,9.67,374,0,222,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Sole, Chain Locker",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,SF,,,,Rhino,2.556,7.27,18.6,0.59%,16.25,0,6.65,302,0,124,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Closure Panel, Bow Locker",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,SF,,,,Rhino,2.716,12,32.6,1.03%,5.82,0,16.58,190,0,540,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Stiffener, Bulkhead ""F""",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,SF,,,,Rhino,2.506,8,20,0.64%,51.06,1.84,10.18,1024,37,204,,
Hull Scantlings & Structure,Hull Soles Assembly,,"Stiffener, Bulkhead ""J""",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Laminate,N/A,LF,,,,Rhino,2.61,14,36.5,1.16%,85.92,0.41,9.77,3140,15,357,,
Hull Scantlings & Structure,Hull Sole Prep,,"Ledgers, Bunks Etc",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,TBD,N/A,EA,,,,Guess,500,1,500,20.41%,63.1,0,5.98,31550,0,2990,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead ""A"", Structural",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,,EA,,,,Measured,210,1,210,8.57%,17.84,0,12.95,3746,0,2720,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead ""A1"" Structural",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,,EA,,,,Measured,54,1,54,2.20%,20.51,0,5.13,1108,0,277,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead, Chain Locker",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,N/A,EA,Westport Shipyards,,,Measured,81,1,81,3.31%,13.3,0,13.51,1077,0,1094,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead ""M"", Gyro Pocket",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,N/A,EA,Westport Shipyards,,,Measured,696,1,696,28.41%,105.71,0,5.56,73574,0,3870,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead ""N"" Starboard, Structural",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,N/A,EA,Westport Shipyards,,,Measured,50,1,50,2.04%,109.25,6.23,10.48,5463,312,524,,
Hull Scantlings & Structure,Hull Sole Prep,,"Bulkhead ""N"" Port, Structural",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Bulkhead Panels,N/A,EA,Westport Shipyards,,,Measured,59,1,59,2.41%,108.85,-6.23,10.31,6422,-368,608,,
Hull Scantlings & Structure,Hull Sole Prep,,"Sole Ledgers, Transverse",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,TBD,,FT3,,,,Solidworks,110,1.47,161.7,6.60%,63.1,-0.02,5.98,10203,-3,967,,
Hull Scantlings & Structure,"Bunk, Fresh Water Tank",,"Bunk, Fresh Water Tank, Core",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,2.038,10.2,17.87%,67.95,0,2.61,692,0,27,,
Hull Scantlings & Structure,"Bunk, Fresh Water Tank",,"Bunk, Fresh Water Tank, Polybond",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,67.3,0.696,46.8,82.13%,67.95,0,2.83,3183,0,133,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #1",,"Bunk, Diesel Oil Tank #1, Core",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,1.33,6.7,18.48%,53.67,0,2.61,357,0,17,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #1",,"Bunk Diesel Oil Tank #1, Polybond",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,67.3,0.436,29.3,81.52%,53.67,0,2.89,1575,0,85,,
Hull Scantlings & Structure,"Bunk, Black Water Tank",,"Bunk, Black Water Tank, Core",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,1.842,9.2,12.91%,60.76,0,2.73,560,0,25,,
Hull Scantlings & Structure,"Bunk, Black Water Tank",,"Bunk, Black Water Tank, Polybond",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,67.3,0.923,62.1,87.09%,60.76,0,2.95,3774,0,183,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #2",,"Bunk, Diesel Oil Fuel Tank #2, Core",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,3.666,18.3,13.49%,75.6,0,3.01,1386,0,55,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #2",,"Bunk, Diesel Oil Fuel Tank #2, Polybond",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,67.3,1.747,117.6,86.51%,75.6,0,3.17,8889,0,373,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Diesel Oil Tank #3, Core",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,10.4,52,34.00%,81.7,0,4.6,4248,0,239,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Diesel Oil Tank #3, Polybond",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,67.3,1.5,101,66.00%,81.7,0,3.52,8248,0,355,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Lube Oil Tanks",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,0.356,1.8,0.39%,88.9,0,1.9,158,0,3,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Black Water Transfer Tank",FALSE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,0.234,,0.00%,39,-1.5,2.6,,,,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Mid Grey Water Transfer Tank",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,0.234,1.2,0.26%,64.5,1.5,3.08,75,2,4,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Forward Gray Water Transfer Tank",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,0.284,1.4,0.31%,39,1.5,2.6,55,2,4,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3",,"Bunk, Aft Grad Water Transfer Tank",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,0.231,1.2,0.25%,100,-3.25,4.25,116,-4,5,,
Hull Scantlings & Structure,Sole Ledgers,,"Sole Ledgers, Longitudinal @ XXXXX"" WL",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,TBD,N/A,FT3,,,,Solidworks,110,0.582,64,76.08%,58.23,0.05,5.98,3728,3,383,,
Hull Scantlings & Structure,Sole Ledgers,,"Sole Ledgers, Longitudinal @ XXXXX"" WL",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,TBD,N/A,FT3,,,,Solidworks,110,0.113,12.4,14.77%,58.23,0,5.98,724,0,74,,
Hull Scantlings & Structure,Sole Ledgers,,"Sole Ledgers, Longitudinal @ XXXXX"" WL",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,TBD,N/A,FT3,,,,Solidworks,110,0.07,7.7,9.15%,58.23,0,5.98,448,0,46,,
Hull Scantlings & Structure,"Bunks, Generators",,"Bunk, Port Generator (5# CORE)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,2.638,13.2,30.47%,89.25,-9.99,7.25,1177,-132,96,,
Hull Scantlings & Structure,"Bunks, Generators",,"Bunk, Port Generator (20# CORE)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,20,0.423,8.5,19.54%,89.25,-9.96,7.25,755,-84,61,,
Hull Scantlings & Structure,"Bunks, Generators",,"Bunk, Starboard Generator (5# CORE)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,5,2.636,13.2,30.45%,89.25,9.99,7.25,1176,132,96,,
Hull Scantlings & Structure,"Bunks, Generators",,"Bunk, Starboard Generator (20# CORE)",TRUE,Gord,Updated,New,Down,New WP I.D.,TBD,Foundations,N/A,FT3,,,,Solidworks,20,0.423,8.5,19.54%,89.25,9.96,7.25,755,84,61,,
Hull Scantlings & Structure,"Bunks, Generators",,"Limbers (Pipe, Fiberglass, 2"" [102389-02])",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,TBD,N/A,FT,,,,Solidworks,0.5,65,32.5,1.33%,76.2,-0.05,2.86,2477,-2,93,,
Hull Scantlings & Structure,"Bunks, Generators",,"Limbers (Pipe, Fiberglass, 4"" [102389-05])",TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,TBD,N/A,FT,,,,Solidworks,1.3,6.5,8.5,0.34%,76.2,-0.05,2.86,644,0,24,,
Hull Scantlings & Structure,"Bunks, Generators",,False Floor,TRUE,Gord,Not Updated,New,Down,New WP I.D.,TBD,TBD,N/A,EA,,,,Measured,11,1,11,0.45%,87.91,0,1.88,967,0,21,,
Hull Scantlings & Structure,Through Hull Arrangement,,"1"" Structural Core, Polyuerethane, 20#,",TRUE,Gord,Updated,New,Down,100918-02,,Core,N/A,SF,,,,Manufacturer,1.67,21,35.1,52.71%,89.25,-1.31,3.43,3130,-46,120,Polyurethane,"1"""
Hull Scantlings & Structure,Through Hull Arrangement,,"1-1/2"" Structural Core, Polyuerethane, 20#,",TRUE,Gord,Updated,New,Down,100918-03,,Core,N/A,SF,,,,Manufacturer,2.5,5,12.5,18.79%,89.25,-1.31,3.43,1116,-16,43,Polyurethane,"1-1/2"""
Hull Scantlings & Structure,Through Hull Arrangement,,"1/2"" Structural Core, Corecell, A 1200",TRUE,Gord,Updated,New,Down,101372-02,,Core,N/A,SF,Corecell,A-1199,,Guess,0.542,11,6,8.96%,80.86,0,6.93,482,0,41,Corecell,"1/2"""
Hull Scantlings & Structure,Through Hull Arrangement,,"1"" Structural Core, Corecell, A 1201",TRUE,Gord,Updated,New,Down,101372-03,,Core,N/A,SF,Corecell,A-1200,,Guess,1.083,12,13,19.53%,80.86,0,6.93,1051,0,90,Corecell,"1"""
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead B, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,55,220,2.37%,18.1,0,10.25,3982,0,2255,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead C, Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,100,350,3.77%,24.5,0,9.33,8575,0,3266,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead D, Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,150,525,5.65%,33.5,0,8.82,17588,0,4631,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead E, Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,190,665,7.16%,39.33,0,8.4,26154,0,5586,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead F, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,230,920,9.90%,48.75,0,8.29,44850,0,7627,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead G (upper), Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,170,595,6.40%,58.66,0,9.79,34903,0,5825,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead G (Lower), Structural WT (includes cofferdam)",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,85,340,3.66%,58.66,0,4.47,19944,0,1520,,
